Family,Row,Pack,Unit,SAP,isPrimary,Description,Notes
DISTEMPER,Duwell - Acrylic Distemper,5KG,KG,IN39751025,TRUE,IP DUWEL ACR DIST 5KG,one row like Promise SmartChoice Acrylic Distemper
DISTEMPER,Duwell - Acrylic Distemper,10KG,KG,IN39751012,TRUE,IP DUWEL ACR DIST 10KG,
DISTEMPER,Duwell - Acrylic Distemper,20KG,KG,IN39751020,TRUE,IP DUWEL ACR DIST 20KG,
DISTEMPER,Magik - 90 Base,1KG,KG,IN87109003,TRUE,IP DUWEL MAGIK WHITE BASE 1KG,
DISTEMPER,Magik - 90 Base,2KG,KG,IN87109004,TRUE,IP DUWEL MAGIK WHITE BASE 2KG,
DISTEMPER,Magik - 90 Base,5KG,KG,IN87109025,TRUE,IP DUWEL MAGIK WHITE BASE 5KG,
DISTEMPER,Magik - 90 Base,10KG,KG,IN87109012,TRUE,IP DUWEL MAGIK WHITE BASE 10KG,
DISTEMPER,Magik - 90 Base,20KG,KG,IN87109020,TRUE,IP DUWEL MAGIK WHITE BASE 20KG,
DISTEMPER,Magik - Brilliant White,1KG,KG,IN87100003,TRUE,IP DUWEL MAGIK WHITE 1KG,
DISTEMPER,Magik - Brilliant White,2KG,KG,IN87100004,TRUE,IP DUWEL MAGIK WHITE 2KG,
DISTEMPER,Magik - Brilliant White,5KG,KG,IN87100025,TRUE,IP DUWEL MAGIK WHITE 5KG,
DISTEMPER,Magik - Brilliant White,10KG,KG,IN87100012,TRUE,IP DUWEL MAGIK WHITE 10KG,
DISTEMPER,Magik - Brilliant White,20KG,KG,IN87100020,TRUE,IP DUWEL MAGIK WHITE 20KG,
