Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size,Map To Product
90 BASE,500ML,500ML,IN28209073,Yes,KEEP,,Yes,DN GLOSS WHITE BASE NEW 500ML,12,GLOSS
90 BASE,1L,1L,IN28209072,Yes,KEEP,,Yes,DN GLOSS WHITE BASE NEW 1L,6,GLOSS
90 BASE,4L,4L,IN28209071,Yes,KEEP,,Yes,DN GLOSS WHITE BASE NEW 4L,4,GLOSS
90 BASE,10L,10L,IN28209082,Yes,KEEP,,Yes,DN GLOSS WHITE BASE NEW 10L,,GLOSS
90 BASE,20L,20L,IN28209081,Yes,KEEP,,Yes,DN GLOSS WHITE BASE NEW 20L,,GLOSS
92 BASE,500ML,500ML,IN28209273,Yes,KEEP,,Yes,DN GLOSS INTERMEDIATE BASE NEW 500ML,12,GLOSS
92 BASE,1L,1L,IN28209272,Yes,KEEP,,Yes,DN GLOSS INTERMEDIATE BASE NEW 0.9L,6,GLOSS
92 BASE,4L,4L,IN28209271,Yes,KEEP,,Yes,DN GLOSS INTERMEDIATE BASE NEW 3.6L,4,GLOSS
92 BASE,10L,10L,IN28209282,Yes,KEEP,,Yes,DN GLOSS INTERMEDIATE BASE NEW 9L,,GLOSS
92 BASE,20L,20L,IN28209281,Yes,KEEP,,Yes,DN GLOSS INTERMEDIATE BASE NEW 18L,,GLOSS
93 BASE,1L,1L,5867122,Yes,KEEP,,Yes,DN GLOSS 93 BASE 0.925L,6,GLOSS
93 BASE,4L,4L,5867123,Yes,KEEP,,Yes,DN GLOSS 93 BASE 3.7L,4,GLOSS
93 BASE,10L,10L,5867124,Yes,KEEP,,Yes,DN DULUX GLOSS 93 BASE 9.25L,,GLOSS
93 BASE,20L,20L,5867125,Yes,KEEP,,Yes,DN DULUX GLOSS 93 BASE 18.5L,,GLOSS
94 BASE,1L,1L,IN28109472,Yes,KEEP,,Yes,DN GLOSS ACCENT BASE 1L,6,GLOSS
94 BASE,1L,1L,5867122,NO,HIDE,,NO,DN GLOSS ACCENT BASE 1L,6,GLOSS
94 BASE,4L,4L,IN28109471,Yes,KEEP,,Yes,DN GLOSS ACCENT BASE 4LT,4,GLOSS
94 BASE,4L,4L,5867123,NO,HIDE,,NO,DN GLOSS ACCENT BASE 4LT,4,GLOSS
94 BASE,20L,20L,IN28109481,Yes,KEEP,,Yes,DN GLOSS ACCENT BASE 20L,,GLOSS
94 BASE,20L,20L,5867125,NO,HIDE,,NO,DN GLOSS ACCENT BASE 20L,,GLOSS
AQUAMARINE,500ML,500ML,IN28916773,Yes,KEEP,,Yes,DN GLOSS AQUAMARINE 500ML,12,GLOSS
AQUAMARINE,1L,1L,IN28916772,Yes,KEEP,,Yes,DN GLOSS AQUAMARINE 1LT,6,GLOSS
AQUAMARINE,4L,4L,IN28916771,Yes,KEEP,,Yes,DN GLOSS AQUAMARINE 4LT,4,GLOSS
BLACK,100ML,100ML,IN28012298,Yes,KEEP,,Yes,DN GLOSS BLACK 100ML,24,GLOSS
BLACK,200ML,200ML,IN28012274,Yes,KEEP,,Yes,DN GLOSS BLACK 200ML,12,GLOSS
BLACK,500ML,500ML,IN28012273,Yes,KEEP,,Yes,DN GLOSS BLACK 500ML,12,GLOSS
BLACK,1L,1L,IN28012272,Yes,KEEP,,Yes,DN GLOSS BLACK 1L,6,GLOSS
BLACK,4L,4L,IN28012271,Yes,KEEP,,Yes,DN GLOSS BLACK 4LT,4,GLOSS
BLACK,10L,10L,IN28012282,Yes,KEEP,,Yes,DN GLOSS BLACK 10L,,GLOSS
BLACK,20L,20L,IN28012281,Yes,KEEP,,Yes,DN GLOSS BLACK 20LT,,GLOSS
BLAZING WHITE,500ML,500ML,IN28201073,Yes,KEEP,,Yes,DN GLOSS BLAZING WHITE 500ML,12,GLOSS
BLAZING WHITE,1L,1L,IN28201072,Yes,KEEP,,Yes,DN GLOSS BLAZING WHITE 1L,6,GLOSS
BLAZING WHITE,4L,4L,IN28201071,Yes,KEEP,,Yes,DN GLOSS BLAZING WHITE 4L,4,GLOSS
BLAZING WHITE,10L,10L,IN28201082,Yes,KEEP,,Yes,DN GLOSS BLAZING WHITE 10L,,GLOSS
BLAZING WHITE,20L,20L,IN28201081,Yes,KEEP,,Yes,DN GLOSS BLAZING WHITE 20L,,GLOSS
BRILLIANT WHITE,100ML,100ML,IN28301098,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 100ML,24,GLOSS
BRILLIANT WHITE,200ML,200ML,IN28301074,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 200ML,12,GLOSS
BRILLIANT WHITE,500ML,500ML,IN28301073,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 500ML,12,GLOSS
BRILLIANT WHITE,500ML,500ML,IN28401073,NO,KEEP,,NO,DN GLOSS BRILLIANT WHITE 500ML,12,GLOSS
BRILLIANT WHITE,1L,1L,IN28301072,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 1L,6,GLOSS
BRILLIANT WHITE,1L,1L,IN28401072,NO,KEEP,,NO,DN GLOSS BRILLIANT WHITE 1L,6,GLOSS
BRILLIANT WHITE,4L,4L,IN28301071,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 4L,4,GLOSS
BRILLIANT WHITE,4L,4L,IN28401071,NO,KEEP,,NO,DN GLOSS BRILLIANT WHITE 4L,4,GLOSS
BRILLIANT WHITE,10L,10L,IN28301082,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 10L,,GLOSS
