proposedFamily,proposedTab,tabSeq,proposedBrandLine,brandSeq,proposedProduct,proposedBase,proposedDisplayName,proposedSearchTokens,material,description,pack,isPrimary,currentHydration,note
SADOLIN,Gloss,1,1K PU,1,1K PU GLOSS,Clear,1K PU Gloss,"1K PU,1KPU,SADOLIN,WOODCARE,GLOSS",IN20109671,DN SADOLIN INT CLR 1K PU GLOSS 4L,4L,true,OK,
SADOLIN,Gloss,1,1K PU,1,1K PU GLOSS,Clear,1K PU Gloss,"1K PU,1KPU,SADOLIN,WOODCARE,GLOSS",IN20109672,DN SADOLIN INT CLR 1K PU GLOSS 1L,1L,true,OK,
SADOLIN,Gloss,1,1K PU,1,1K PU GLOSS,Clear,1K PU Gloss,"1K PU,1KPU,SADOLIN,WOODCARE,GLOSS",IN20109673,DN SADOLIN INT CLR 1K PU GLOSS 500ML,500ML,true,HIDDEN,FIX unit L->ML (500ML)
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,90 Base,2K Pu Gloss - 90 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,90 BASE",5841673,DPP-SADOLIN 2KPU GLOSS BAS90 WHT 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,90 Base,2K Pu Gloss - 90 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,90 BASE",5841674,DPP-SADOLIN 2KPU GLOSS BAS90 WHT 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,90 Base,2K Pu Gloss - 90 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,90 BASE",5841675,DPP-SADOLIN 2KPU GLOSS BAS90 WHT 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,93 Base,2K Pu Gloss - 93 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,93 BASE",5841679,DN SADOLIN 2KPU GLOSS 93 BASE 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,93 Base,2K Pu Gloss - 93 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,93 BASE",5841680,DN SADOLIN 2KPU GLOSS 93 BASE 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,93 Base,2K Pu Gloss - 93 Base,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,93 BASE",5841681,DPP-SADOLIN 2KPU GLOSS BAS93 CLR 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Exterior Clear,2K Pu Gloss - Exterior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201371,DN SADOLIN EXTERIOR CLR 2KPU GLOSS 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Exterior Clear,2K Pu Gloss - Exterior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201372,DN SADOLIN EXTERIOR CLR 2KPU GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Exterior Clear,2K Pu Gloss - Exterior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201381,DN SADOLIN EXTERIOR CLR 2KPU GLOSS 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Interior Clear,2K Pu Gloss - Interior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201171,DN SADOLIN INTERIOR CLR 2KPU GLOSS 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Interior Clear,2K Pu Gloss - Interior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201172,DN SADOLIN INTERIOR CLR 2KPU GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Interior Clear,2K Pu Gloss - Interior Clear,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201181,DN SADOLIN INTERIOR CLR 2KPU GLOSS 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Opaque Black,2K Pu Gloss - Opaque Black,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,OPAQUE BLACK",IN35201972,DN SADOLIN OPQ 2KPU GLOSS BLACK 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Opaque White,2K Pu Gloss - Opaque White,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201771,DN SADOLIN OPQ 2KPU GLOSS WHITE 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Opaque White,2K Pu Gloss - Opaque White,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201772,DN SADOLIN OPQ 2KPU GLOSS WHITE 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,2K PU,2,2K PU GLOSS,Opaque White,2K Pu Gloss - Opaque White,"2K PU GLOSS,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201781,DN SADOLIN OPQ 2KPU GLOSS WHITE 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,HYDRO PU,3,HYDRO PU GLOSS,Interior Clear,Hydro PU Gloss - Interior Clear,"HYDRO PU GLOSS,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G80,INTERIOR",5746642,DN SADOLIN HYDRO PU INT G80 GLOSS 1L,1L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Gloss,1,HYDRO PU,3,HYDRO PU GLOSS,Interior Clear,Hydro PU Gloss - Interior Clear,"HYDRO PU GLOSS,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G80,INTERIOR",5746643,DN SADOLIN HYDRO PU INT G80 GLOSS 4L,4L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,90 Base,Pu Prime Gloss - 90 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841326,DN SADOLIN PU PRIME 90 BASE GLOSS 1L,1L,true,CROSS-LINK,
