Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size,Map To Product
90 BASE,1L,1L,IN28129072,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHT. BASE 0.9L,6,STAY BRIGHT
90 BASE,4L,4L,IN28129071,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHT. BASE 3.6L,4,STAY BRIGHT
90 BASE,10L,10L,IN28129082,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE BASE 10L,1,STAY BRIGHT
90 BASE,20L,20L,IN28129081,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE BASE 18L,1,STAY BRIGHT
92 BASE,1L,1L,IN28129272,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT INT. BASE 0.9L,6,STAY BRIGHT
92 BASE,4L,4L,IN28129271,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT INT. BASE 3.6L,4,STAY BRIGHT
92 BASE,10L,10L,IN28129282,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT INT. BASE 10L,1,STAY BRIGHT
92 BASE,20L,20L,IN28129281,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT INT. BASE 18L,1,STAY BRIGHT
93 BASE,1L,1L,5867126,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT 93 BASE 0.925L,6,STAY BRIGHT
93 BASE,4L,4L,5867127,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT 93 BASE 3.7L,4,STAY BRIGHT
93 BASE,10L,10L,5867120,Yes,KEEP,,Yes,DN SAT FIN 93 BASE 9.25L,1,STAY BRIGHT
93 BASE,20L,20L,5867129,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT 93 BASE 18.5L,1,STAY BRIGHT
94 BASE,1L,1L,IN28129472,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT ACC. BASE 0.9L,6,STAY BRIGHT
94 BASE,4L,4L,IN28129471,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT ACC. BASE 3.6L,4,STAY BRIGHT
94 BASE,20L,20L,IN28129481,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT ACC. BASE 18L,1,STAY BRIGHT
97 BASE,1L,1L,IN28809772,Yes,KEEP,,Yes,DN SAT FIN RED BASE 0.9LT,6,STAY BRIGHT
BLACK,200ML,200ML,IN28162274,Yes,KEEP,,Yes,DN WB SATIN BLACK 200ML,12,STAY BRIGHT
BRILLIANT WHITE,1L,1L,IN28140072,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE 1L,6,STAY BRIGHT
BRILLIANT WHITE,4L,4L,IN28140071,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE 4L,4,STAY BRIGHT
BRILLIANT WHITE,10L,10L,IN28140082,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE 10L,1,STAY BRIGHT
BRILLIANT WHITE,20L,20L,IN28140081,Yes,KEEP,,Yes,DN SATIN STAY BRIGHT WHITE 20L,1,STAY BRIGHT
WALNUT,500ML,500ML,9058560,Yes,KEEP,,Yes,DN SAT FIN WALNUT 500ML,12,STAY BRIGHT
WALNUT,1L,1L,9058559,Yes,KEEP,,Yes,DN SAT FIN WALNUT 1LT,6,STAY BRIGHT
WALNUT,4L,4L,9058558,Yes,KEEP,,Yes,DN SAT FIN WALNUT 4LT,4,STAY BRIGHT
WALNUT,10L,10L,9058562,Yes,KEEP,,Yes,DN SAT FIN WALNUT 10LT,1,STAY BRIGHT
WALNUT,20L,20L,9058561,Yes,KEEP,,Yes,DN SAT FIN WALNUT 20LT,1,STAY BRIGHT
90 BASE,500ML,500ML,IN28079073,Yes,KEEP,,Yes,DN SAT FIN WHITE BASE-NEW 500ML,12,SUPER SATIN
90 BASE,1L,1L,IN28079072,Yes,KEEP,,Yes,DN SAT FIN WHITE BASE-NEW 1LT,6,SUPER SATIN
90 BASE,4L,4L,IN28079071,Yes,KEEP,,Yes,DN SAT FIN WHITE BASE-NEW 4L,4,SUPER SATIN
90 BASE,10L,10L,IN28079082,Yes,KEEP,,Yes,DN SAT FIN WHITE BASE-NEW 10LT,1,SUPER SATIN
90 BASE,20L,20L,IN28079081,Yes,KEEP,,Yes,DN SAT FIN WHITE BASE-NEW 20LT,1,SUPER SATIN
92 BASE,1L,1L,IN28099272,Yes,KEEP,,Yes,DN SAT FIN INTERMEDIATE BASE 0.9 LT,6,SUPER SATIN
92 BASE,4L,4L,IN28099271,Yes,KEEP,,Yes,DN SAT FIN INTERMEDIATE BASE 3.6 LT,4,SUPER SATIN
92 BASE,10L,10L,IN28099282,Yes,KEEP,,Yes,DN SAT FIN INTERMEDIATE BASE 9L,1,SUPER SATIN
92 BASE,20L,20L,IN28099281,Yes,KEEP,,Yes,DN SAT FIN INTERMEDIATE BASE 18 LT,1,SUPER SATIN
93 BASE,1L,1L,5867118,Yes,KEEP,,Yes,DN SAT FIN 93 BASE 0.925L,6,SUPER SATIN
93 BASE,4L,4L,5867119,Yes,KEEP,,Yes,DN SAT FIN 93 BASE 3.7L,4,SUPER SATIN
93 BASE,20L,20L,5867121,Yes,KEEP,,Yes,DN SAT FIN 93 BASE 18.5L,1,SUPER SATIN
94 BASE,1L,1L,IN28089472,Yes,KEEP,,Yes,DN SAT FIN ACCENT BASE 0.9LT,6,SUPER SATIN
94 BASE,1L,1L,5867118,NO,KEEP,,NO,DN SAT FIN ACCENT BASE 0.9LT,6,SUPER SATIN
94 BASE,4L,4L,IN28089471,Yes,KEEP,,Yes,DN SAT FIN ACCENT BASE 3.6LT,4,SUPER SATIN
94 BASE,4L,4L,5867119,NO,KEEP,,NO,DN SAT FIN ACCENT BASE 3.6LT,4,SUPER SATIN
94 BASE,10L,10L,IN28089482,Yes,KEEP,,Yes,DN SAT FIN ACCENT BASE 9LT,1,SUPER SATIN
94 BASE,10L,10L,5867120,NO,KEEP,,NO,DN SAT FIN ACCENT BASE 9LT,1,SUPER SATIN
94 BASE,20L,20L,IN28089481,Yes,KEEP,,Yes,DN SAT FIN ACCENT BASE 18LT,1,SUPER SATIN
94 BASE,20L,20L,5867121,NO,KEEP,,NO,DN SAT FIN ACCENT BASE 18LT,1,SUPER SATIN
96 BASE,1L,1L,IN28809672,Yes,KEEP,,Yes,DN SAT FIN YELLOW BASE 0.9LT,6,SUPER SATIN
96 BASE,1L,1L,5867118,NO,KEEP,,NO,DN SAT FIN YELLOW BASE 0.9LT,6,SUPER SATIN
96 BASE,4L,4L,IN28809671,Yes,KEEP,,Yes,DN SAT FIN YELLOW BASE 3.6L,4,SUPER SATIN
