Tab,Base,Alias,Pack,Unit,SAP,isPrimary,MapToProduct,Description,Carton,Notes
SUPERCLEAN,BRILLIANT WHITE,,1L,L,5554816,TRUE,SUPERCLEAN,DN SUPERCLEAN BRILLIANT WHITE 1L,6,
SUPERCLEAN,BRILLIANT WHITE,,1L,L,5906736,FALSE,SUPERCLEAN,DN SUPERCLEAN BRILLIANT WHITE 1L,6,
SUPERCLEAN,BRILLIANT WHITE,,1L,L,5554794,FALSE,SUPERCLEAN,DN SUPERCLEAN BRILLIANT WHITE 1L,6,
SUPERCLEAN,BRILLIANT WHITE,,4L,L,5554795,TRUE,SUPERCLEAN,DN SUPERCLEAN BRILLIANT WHITE 4L,4,
SUPERCLEAN,BRILLIANT WHITE,,4L,L,5906464,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW BR.WHITE 4L,4,
SUPERCLEAN,BRILLIANT WHITE,,10L,L,5906467,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW BR.WHITE 10L,1,
SUPERCLEAN,BRILLIANT WHITE,,10L,L,5554796,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW BR.WHITE 10L,1,
SUPERCLEAN,BRILLIANT WHITE,,20L,L,5906466,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW BR.WHITE 20L,1,
SUPERCLEAN,BRILLIANT WHITE,,20L,L,5554797,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW BR.WHITE 20L,1,
SUPERCLEAN,90 BASE,White,1L,L,5906737,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 1L,6,
SUPERCLEAN,90 BASE,White,1L,L,5554817,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 1L,6,
SUPERCLEAN,90 BASE,White,1L,L,5554798,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 1L,6,
SUPERCLEAN,90 BASE,White,4L,L,5906708,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 4L,4,
SUPERCLEAN,90 BASE,White,4L,L,5554799,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 4L,4,
SUPERCLEAN,90 BASE,White,10L,L,5906711,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 10L,1,
SUPERCLEAN,90 BASE,White,10L,L,5554800,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 10L,1,
SUPERCLEAN,90 BASE,White,20L,L,5906710,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 20L,1,
SUPERCLEAN,90 BASE,White,20L,L,5554801,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 90 BASE 20L,1,
SUPERCLEAN,92 BASE,Intermediate,1L,L,5906738,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 1L,6,
SUPERCLEAN,92 BASE,Intermediate,1L,L,5554818,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 1L,6,
SUPERCLEAN,92 BASE,Intermediate,1L,L,5554802,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 1L,6,
SUPERCLEAN,92 BASE,Intermediate,4L,L,5906712,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 4L,4,
SUPERCLEAN,92 BASE,Intermediate,4L,L,5554803,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 4L,4,
SUPERCLEAN,92 BASE,Intermediate,10L,L,5906715,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 10L,1,
SUPERCLEAN,92 BASE,Intermediate,10L,L,5554804,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 10L,1,
SUPERCLEAN,92 BASE,Intermediate,20L,L,5906714,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 20L,1,
SUPERCLEAN,92 BASE,Intermediate,20L,L,5554805,FALSE,SUPERCLEAN,DN SUPERCLEAN NEW 92 BASE 20L,1,
SUPERCLEAN,93 BASE,,1L,L,5906739,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 93 BASE 1L,6,
SUPERCLEAN,93 BASE,,4L,L,5906716,TRUE,SUPERCLEAN,DN SUPERCLEAN NEW 93 BASE 4L,4,
