Tab,Base,Alias,Pack,Unit,SAP,isPrimary,MapToProduct,Description,Carton,Notes
SUPERCOVER,BRILLIANT WHITE,,1L,L,5853031,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 1L,6,
SUPERCOVER,BRILLIANT WHITE,,1L,L,5853010,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 1L,6,
SUPERCOVER,BRILLIANT WHITE,,1L,L,IN27300072,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 1L,6,
SUPERCOVER,BRILLIANT WHITE,,1L,L,IN27300023,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 1L,6,
SUPERCOVER,BRILLIANT WHITE,,4L,L,5853009,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 4L,4,
SUPERCOVER,BRILLIANT WHITE,,4L,L,IN27300071,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 4L,4,
SUPERCOVER,BRILLIANT WHITE,,10L,L,5853012,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 10L,1,
SUPERCOVER,BRILLIANT WHITE,,10L,L,IN27300082,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 10L,1,
SUPERCOVER,BRILLIANT WHITE,,20L,L,5853011,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 20L,1,
SUPERCOVER,BRILLIANT WHITE,,20L,L,IN27300059,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 20L,1,
SUPERCOVER,BRILLIANT WHITE,,20L,L,IN27300081,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 20L,1,
SUPERCOVER,BRILLIANT WHITE,,20L,L,IN27300049,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA BR.WHITE 20L,1,
SUPERCOVER,90 BASE,White,250ML,ML,IN27309077,TRUE,SUPERCOVER,DN SUPERCOVER WHITE BASE 250ML,,
SUPERCOVER,90 BASE,White,1L,L,5853014,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 1L,6,
SUPERCOVER,90 BASE,White,1L,L,5853032,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 1L,6,
SUPERCOVER,90 BASE,White,1L,L,IN27309072,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 1L,6,
SUPERCOVER,90 BASE,White,1L,L,IN27309023,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 1L,9,
SUPERCOVER,90 BASE,White,4L,L,5853013,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 4L,4,
SUPERCOVER,90 BASE,White,4L,L,IN27309071,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 4L,4,
SUPERCOVER,90 BASE,White,10L,L,5853016,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 10L,1,
SUPERCOVER,90 BASE,White,10L,L,IN27309082,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 10L,1,
SUPERCOVER,90 BASE,White,20L,L,5853015,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 20L,1,
SUPERCOVER,90 BASE,White,20L,L,IN27309059,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 20L,1,
SUPERCOVER,90 BASE,White,20L,L,IN27309081,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 20L,1,
SUPERCOVER,90 BASE,White,20L,L,IN27309049,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 90 BASE 20L,1,
SUPERCOVER,92 BASE,Intermediate,250ML,ML,IN27309277,TRUE,SUPERCOVER,DN SUPERCOVER INTERMEDIATE BASE 250ML,,
SUPERCOVER,92 BASE,Intermediate,1L,L,5853018,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 1L,6,
SUPERCOVER,92 BASE,Intermediate,1L,L,5853033,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 1L,6,
SUPERCOVER,92 BASE,Intermediate,1L,L,IN27309272,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 1L,6,
SUPERCOVER,92 BASE,Intermediate,1L,L,IN27309223,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 1L,9,
SUPERCOVER,92 BASE,Intermediate,4L,L,5853017,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 4L,4,
SUPERCOVER,92 BASE,Intermediate,4L,L,IN27309271,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 4L,4,
SUPERCOVER,92 BASE,Intermediate,10L,L,5853020,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 10L,1,
SUPERCOVER,92 BASE,Intermediate,10L,L,IN27309282,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 10L,1,
SUPERCOVER,92 BASE,Intermediate,20L,L,5853019,TRUE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 20L,1,
SUPERCOVER,92 BASE,Intermediate,20L,L,IN27309259,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 20L,1,
SUPERCOVER,92 BASE,Intermediate,20L,L,IN27309281,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 20L,1,
SUPERCOVER,92 BASE,Intermediate,20L,L,IN27309249,FALSE,SUPERCOVER,DPP-SUPERCOVER ULTRA 92 BASE 20L,1,
