Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size
90 BASE,1,1,5771985,Yes,KEEP,,Yes,DN WS POWERFLEXX 90 BASE 1L,6
90 BASE,1,1,5948172,No,HIDE,,No,DN WS POWERFLEXX 90 BASE 1L,6
90 BASE,4,4,5771986,Yes,KEEP,,Yes,DN WS POWERFLEXX WHITE BASE 4L,4
90 BASE,4,4,5948173,No,HIDE,,No,DN WS POWERFLEXX WHITE BASE 4L,4
90 BASE,10,10,5771987,Yes,KEEP,,Yes,DN WS POWERFLEXX WHITE BASE 10L,
90 BASE,10,10,5948174,No,HIDE,,No,DN WS POWERFLEXX WHITE BASE 10L,
90 BASE,20,20,5771988,Yes,KEEP,,Yes,DN WS POWERFLEXX WHITE BASE 20L,
90 BASE,20,20,5915024,No,HIDE,,No,DN WS POWERFLEXX WHITE BASE 20L,
90 BASE,20,20,5948405,No,HIDE,,No,DN WS POWERFLEXX WHITE BASE 20L,
90 BASE,20,20,5948175,No,HIDE,,No,DN WS POWERFLEXX WHITE BASE 20L,
92 BASE,1,1,5771989,Yes,KEEP,,Yes,DN WS POWERFLEXX 92 BASE 0.9L,6
92 BASE,1,1,5948176,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 0.9L,6
92 BASE,4,4,5771990,Yes,KEEP,,Yes,DN WS POWERFLEXX 92 BASE 3.6L,4
92 BASE,4,4,5948177,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 3.6L,4
92 BASE,10,10,5771991,Yes,KEEP,,Yes,DN WS POWERFLEXX 92 BASE 9L,
92 BASE,10,10,5948178,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 9L,
92 BASE,20,20,5771992,Yes,KEEP,,Yes,DN WS POWERFLEXX 92 BASE 18L,
92 BASE,20,20,5915029,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 18L,
92 BASE,20,20,5948407,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 18L,
92 BASE,20,20,5948179,No,HIDE,,No,DN WS POWERFLEXX 92 BASE 18L,
93 BASE,1,1,5769795,Yes,KEEP,,Yes,DN WS POWERFLEXX 93 BASE 0.925L,6
93 BASE,1,1,5948180,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 0.925L,6
93 BASE,4,4,5769796,Yes,KEEP,,Yes,DN WS POWERFLEXX 93 BASE 3.7L,4
93 BASE,4,4,5948181,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 3.7L,4
93 BASE,10,10,5769797,Yes,KEEP,,Yes,DN WS POWERFLEXX 93 BASE 9.25L,
93 BASE,10,10,5948182,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 9.25L,
93 BASE,20,20,5769798,Yes,KEEP,,Yes,DN WS POWERFLEXX 93 BASE 18.5L,
93 BASE,20,20,5915030,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 18.5L,
93 BASE,20,20,5948409,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 18.5L,
93 BASE,20,20,5948183,No,HIDE,,No,DN WS POWERFLEXX 93 BASE 18.5L,
94 BASE,1,1,5771993,Yes,KEEP,,Yes,DN WS POWERFLEXX 94 BASE 0.9L,6
94 BASE,1,1,5948184,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 0.9L,6
94 BASE,1,1,5769795,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 0.9L,6
94 BASE,4,4,5771994,Yes,KEEP,,Yes,DN WS POWERFLEXX 94 BASE 3.6L,4
94 BASE,4,4,5948185,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 3.6L,4
94 BASE,4,4,5769796,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 3.6L,4
94 BASE,10,10,5771995,Yes,KEEP,,Yes,DN WS POWERFLEXX 94 BASE 9L,
94 BASE,10,10,5948186,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 9L,
94 BASE,10,10,5769797,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 9L,
94 BASE,20,20,5771996,Yes,KEEP,,Yes,DN WS POWERFLEXX 94 BASE 18L,
94 BASE,20,20,5915033,No,HIDE,,No,DN WS POWERFLEXX 94 BASE 18L,
