Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size
BRILLIANT WHITE,1L,1L,5880414,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF BR.WHITE 1LTR,6
BRILLIANT WHITE,1L,1L,IN36400072,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 1L,6
BRILLIANT WHITE,1L,1L,IN36400023,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 1L,9
BRILLIANT WHITE,4L,4L,5880378,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF BR.WHITE 4L,4
BRILLIANT WHITE,4L,4L,IN36400071,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 4L,4
BRILLIANT WHITE,10L,10L,5880381,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF BR.WHITE 10L,
BRILLIANT WHITE,10L,10L,IN36400082,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 10L,
BRILLIANT WHITE,20L,20L,5880380,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF BR.WHITE 20L,
BRILLIANT WHITE,20L,20L,IN36400049,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 20L,
BRILLIANT WHITE,20L,20L,IN36400081,No,HIDE,,No,DN WS PROTECT BRILLIANT WHITE 20L,
90 BASE,1L,1L,5880415,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 90 BASE 1LTR,6
90 BASE,1L,1L,IN36409072,No,HIDE,,No,DN WS PROTECT WHITE BASE 1L,6
90 BASE,1L,1L,IN36409023,No,HIDE,,No,DN WS PROTECT WHITE BASE 1L,9
90 BASE,4L,4L,5880382,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF 90 BASE 4L,4
90 BASE,4L,4L,IN36409071,No,HIDE,,No,DN WS PROTECT WHITE BASE 4L,4
90 BASE,10L,10L,5880385,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF 90 BASE 10L,
90 BASE,10L,10L,IN36409082,No,HIDE,,No,DN WS PROTECT WHITE BASE 10L,
90 BASE,20L,20L,5880384,Yes,KEEP,,Yes,DN WS  PROTECT DUSTPROOF 90 BASE 20L,
90 BASE,20L,20L,IN36409049,No,HIDE,,No,DN WS PROTECT WHITE BASE 20L,
90 BASE,20L,20L,IN36409081,No,HIDE,,No,DN WS PROTECT WHITE BASE 20L,
92 BASE,1L,1L,5880416,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 92 BASE 0.9LTR,6
92 BASE,1L,1L,IN36408172,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 0.9L,6
92 BASE,1L,1L,IN36408123,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 0.9L,9
92 BASE,4L,4L,5880386,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 92 BASE 3.6L,4
92 BASE,4L,4L,IN36408171,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 3.6L,4
92 BASE,10L,10L,5880389,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 92 BASE 9L,
92 BASE,10L,10L,IN36408182,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 9L,
92 BASE,20L,20L,5880388,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 92 BASE 18L,
92 BASE,20L,20L,IN36408149,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 18L,
92 BASE,20L,20L,IN36408181,No,HIDE,,No,DN WS PROTECT INTERMEDIATE BASE 18L,
94 BASE,1L,1L,5880418,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 94 BASE 0.9L,6
94 BASE,1L,1L,5880395,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 94 BASE 0.9L,6
94 BASE,1L,1L,5880417,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 94 BASE 0.9L,6
94 BASE,1L,1L,IN36409472,No,HIDE,,No,DN WS PROTECT ACCENT BASE 0.9L,6
94 BASE,1L,1L,IN36409423,No,HIDE,,No,DN WS PROTECT ACCENT BASE 0.9L,9
94 BASE,4L,4L,5880394,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 94 BASE 3.6L,4
94 BASE,4L,4L,5880390,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 94 BASE 3.6L,4
94 BASE,4L,4L,IN36409471,No,HIDE,,No,DN WS PROTECT ACCENT BASE 3.6L,4
94 BASE,10L,10L,5880397,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 94 BASE 9L,
94 BASE,10L,10L,5880393,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 94 BASE 9L,
94 BASE,10L,10L,IN36409482,No,HIDE,,No,DN WS PROTECT ACCENT BASE 9L,
94 BASE,20L,20L,5880396,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 94 BASE 18L,
94 BASE,20L,20L,5880392,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 94 BASE 18L,
94 BASE,20L,20L,IN36409481,No,HIDE,,No,DN WS PROTECT ACCENT BASE 18L,
95 BASE,1L,1L,5880419,Yes,KEEP,,Yes,DN WS� PROTECT DUSTPROOF 95 BASE 0.9LTR,6
95 BASE,1L,1L,5880417,No,HIDE,,No,DN WS� PROTECT DUSTPROOF 95 BASE 0.9LTR,6
95 BASE,1L,1L,IN36409572,No,HIDE,,No,DN WS PROTECT DEEP BASE 0.9L,6
