Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size
90 BASE,1L,1L,5834787,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF WHITE BASE 1L,6
90 BASE,1L,1L,5948364,No,HIDE,,No,DN WS PROTECT RAINPROOF WHITE BASE 1L,6
90 BASE,4L,4L,5834798,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF WHITE BASE 4L,4
90 BASE,4L,4L,5948365,No,HIDE,,No,DN WS PROTECT RAINPROOF WHITE BASE 4L,4
90 BASE,10L,10L,5834799,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF WHITE BASE 10L,
90 BASE,10L,10L,5948366,No,HIDE,,No,DN WS PROTECT RAINPROOF WHITE BASE 10L,
90 BASE,20L,20L,5834800,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF WHITE BASE 20L,
90 BASE,20L,20L,5948367,No,HIDE,,No,DN WS PROTECT RAINPROOF WHITE BASE 20L,
92 BASE,1L,1L,5834827,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 92 BASE 0.9L,6
92 BASE,1L,1L,5948378,No,HIDE,,No,DN WS PROTECT RAINPROOF 92 BASE 0.9L,6
92 BASE,4L,4L,5834802,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 92 BASE 3.6L,4
92 BASE,4L,4L,5948379,No,HIDE,,No,DN WS PROTECT RAINPROOF 92 BASE 3.6L,4
92 BASE,10L,10L,5834803,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 92 BASE 9L,
92 BASE,10L,10L,5948380,No,HIDE,,No,DN WS PROTECT RAINPROOF 92 BASE 9L,
92 BASE,20L,20L,5834804,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 92 BASE 18L,
92 BASE,20L,20L,5948381,No,HIDE,,No,DN WS PROTECT RAINPROOF 92 BASE 18L,
93 BASE,1L,1L,5834832,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 93 BASE 0.925L,6
93 BASE,1L,1L,5948382,No,HIDE,,No,DN WS PROTECT RAINPROOF 93 BASE 0.925L,6
93 BASE,4L,4L,5834822,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 93 BASE 3.7L,4
93 BASE,4L,4L,5948383,No,HIDE,,No,DN WS PROTECT RAINPROOF 93 BASE 3.7L,4
93 BASE,10L,10L,5834823,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 93 BASE 9.25L,
93 BASE,10L,10L,5948384,No,HIDE,,No,DN WS PROTECT RAINPROOF 93 BASE 9.25L,
93 BASE,20L,20L,5834824,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF 93 BASE 18.5L,
93 BASE,20L,20L,5948385,No,HIDE,,No,DN WS PROTECT RAINPROOF 93 BASE 18.5L,
94 BASE,1L,1L,5834805,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF ACCENT BASE 0.9L,6
94 BASE,1L,1L,5948386,No,HIDE,,No,DN WS PROTECT RAINPROOF ACCENT BASE 0.9L,6
94 BASE,1L,1L,5834832,No,HIDE,,No,DN WS PROTECT RAINPROOF ACCENT BASE 0.9L,6
94 BASE,4L,4L,5834806,Yes,KEEP,,Yes,DN WS PROTECT RAINPROOF ACCENT BASE 3.6L,4
94 BASE,4L,4L,5948387,No,HIDE,,No,DN WS PROTECT RAINPROOF ACCENT BASE 3.6L,4
94 BASE,4L,4L,5834822,No,HIDE,,No,DN WS PROTECT RAINPROOF ACCENT BASE 3.6L,4
