areaId,areaName,deliveryTypeName,routeId,routeName,activeFlag
5,TITHAL,Upcountry,12,Vapi,true
6,Dehradun,Cross,18,IGT / CROSS,true
7,Hazira Road,Upcountry,9,Adajan,true
8,Bhubaneshwar,Cross,18,IGT / CROSS,true
9,Tirunelvel,Cross,18,IGT / CROSS,true
10,Khambhat,Cross,18,IGT / CROSS,true
11,Porbandar,Cross,18,IGT / CROSS,true
12,Morbi,Cross,18,IGT / CROSS,true
13,Dabhel,Upcountry,11,Navsari,true
14,A.K.Road,Local,8,Varachha,true
15,VAV,Upcountry,19,Kamrej,true
16,Adajan,Local,9,Adajan,true
17,Ahmedabad,Cross,18,IGT / CROSS,true
18,ATGAM,Upcountry,12,Vapi,true
19,Ahwa,Upcountry,13,Vansda,true
20,Althan,Local,6,Ghod Dod,true
21,BHATHA,Upcountry,9,Adajan,true
22,Sisodara - Navsari,Upcountry,11,Navsari,true
23,Amalsad,Upcountry,21,Chikhli,true
24,Amboli,Upcountry,17,Bharuch,true
25,Amod,Upcountry,17,Bharuch,true
26,Amravati,Cross,18,IGT / CROSS,true
27,Amritsir,Cross,18,IGT / CROSS,true
28,Amroli,Local,8,Varachha,true
29,Sanvalla,Upcountry,13,Vansda,true
30,Anaval,Upcountry,13,Vansda,true
31,Ashtagam,Upcountry,21,Chikhli,true
32,Ankleshwar,Upcountry,17,Bharuch,true
33,Areth,Upcountry,14,Bardoli,true
34,CHANDIGARH,Cross,18,IGT / CROSS,true
35,KANDOLPADA,Upcountry,13,Vansda,true
36,Atul,Upcountry,12,Vapi,true
37,Aurangabad,Cross,18,IGT / CROSS,true
38,Bajipura,Upcountry,14,Bardoli,true
39,Balaghat,Cross,18,IGT / CROSS,true
40,Bamroli,Local,6,Ghod Dod,true
41,Bardoli,Upcountry,14,Bardoli,true
42,VALIA,Upcountry,17,Bharuch,true
43,Bestan,Local,7,Udhana,true
44,Bhagal,Local,9,Adajan,true
45,Bharuch,Upcountry,17,Bharuch,true
46,Bhatar,Local,6,Ghod Dod,true
47,Baghumra,Upcountry,14,Bardoli,true
48,Bhavnagar,Cross,18,IGT / CROSS,true
49,Bhestan,Local,7,Udhana,true
50,Bhilad,Upcountry,12,Vapi,true
51,Banglore,IGT,18,IGT / CROSS,true
52,Bhimrad,Local,6,Ghod Dod,true
53,Bengaluru,IGT,18,IGT / CROSS,true
54,Anjar,Cross,18,IGT / CROSS,true
55,Bhopal,Cross,18,IGT / CROSS,true
56,Chennai,IGT,18,IGT / CROSS,true
57,Bilaspur,Cross,18,IGT / CROSS,true
58,Coimbtor,IGT,18,IGT / CROSS,true
59,Bilimora,Upcountry,21,Chikhli,true
60,Coimbtor RDC,IGT,18,IGT / CROSS,true
61,Bombay Mkt,Local,8,Varachha,true
62,Cuttack,IGT,18,IGT / CROSS,true
63,Buhari,Upcountry,14,Bardoli,true
64,Delhi,Cross,18,IGT / CROSS,true
65,Chalthan,Upcountry,11,Navsari,true
66,Ernakulam,IGT,18,IGT / CROSS,true
67,Chhiri,Upcountry,12,Vapi,true
68,Gaziyabad,IGT,18,IGT / CROSS,true
69,KARANJ,Upcountry,17,Bharuch,true
70,Chikhli,Upcountry,21,Chikhli,true
71,Gurugram,IGT,18,IGT / CROSS,true
72,Chowk,Local,9,Adajan,true
73,Guwahati,Cross,18,IGT / CROSS,true
74,City Light,Local,6,Ghod Dod,true
75,Hapur-Uttar Pradesh,IGT,18,IGT / CROSS,true
76,RANCHI,IGT,18,IGT / CROSS,true
77,Dabholi,Local,8,Varachha,true
78,Howrah,IGT,18,IGT / CROSS,true
79,Dadra Nagar Haveli,Upcountry,12,Vapi,true
80,Hyderabad,IGT,18,IGT / CROSS,true
81,Daman,Upcountry,12,Vapi,true
82,Jaipur,IGT,18,IGT / CROSS,true
83,Delad,Upcountry,19,Kamrej,true
84,Kalamboli,IGT,18,IGT / CROSS,true
85,Dharampur,Upcountry,12,Vapi,true
86,Kolkata,IGT,18,IGT / CROSS,true
87,Dindoli,Local,7,Udhana,true
88,Koparkhairane,IGT,18,IGT / CROSS,true
89,Haladva,Upcountry,13,Vansda,true
90,Dindoligam,Local,7,Udhana,true
91,Limbayat,Local,7,Udhana,true
92,Dumas,Local,6,Ghod Dod,true
93,Lucknow,IGT,18,IGT / CROSS,true
94,Dumbhal,Local,5,Parvat,true
95,Madurai,IGT,18,IGT / CROSS,true
96,SUNEVAKLLA,Upcountry,17,Bharuch,true
97,Eru,Upcountry,11,Navsari,true
98,Moragam,Upcountry,9,Adajan,true
99,Dastan,Upcountry,14,Bardoli,true
100,Gadhpur Road,Local,8,Varachha,true
101,Navi Mumbai,IGT,18,IGT / CROSS,true
102,Banaskantha,Cross,18,IGT / CROSS,true
103,Gandevi,Upcountry,21,Chikhli,true
104,Panta DC,IGT,18,IGT / CROSS,true
105,Gandhidham,Cross,18,IGT / CROSS,true
106,Punjab,IGT,18,IGT / CROSS,true
107,Ghadat,Upcountry,21,Chikhli,true
108,Ghod-Dod Road,Local,6,Ghod Dod,true
109,Thane,IGT,18,IGT / CROSS,true
110,Godadara,Local,7,Udhana,true
111,Vijaywada,IGT,18,IGT / CROSS,true
112,Godhra,Upcountry,18,IGT / CROSS,true
113,Umbhel,Upcountry,14,Bardoli,true
114,PATHANAMTHITTA-KERALA,Cross,18,IGT / CROSS,true
115,Gopipura,Local,9,Adajan,true
