--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Delivery  |ShPt  |SLoc|Dv|Sold-To Pt|Name of sold-to party |Ship-To|Name of the ship-to party|Ref. Doc. |DlvTy|ItCa|Item|Material  |Description                             |Delivery qty|     Volume| Net weight| Total Wght|Batch     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  9109179959|IN53  |2000|70|3537829   |MURLIDHAR COLOUR      |3537829|MURLIDHAR COLOUR         |1046789047|LF   |TAN |  10|IN34220082|DN SB CEMENT PRIMER 10L                 |          0 |         0 |         0 |         0 |          |
|  9109179959|IN53  |2000|70|3537829   |MURLIDHAR COLOUR      |3537829|MURLIDHAR COLOUR         |1046789047|LF   |TAN | 001|IN34220082|DN SB CEMENT PRIMER 10L                 |         20 |       200 |       250 |       276 |C20260701 |
|  9109179960|IN53  |2000|70|109725    |Polishwala Trading Co.|109725 |Polishwala Trading Co.   |1046789048|LF   |TAN |  10|9055676   |Promise Freedom 2in1 Primer Int & Ext 4L|          2 |         8 |     9.760 |    11.240 |T20260701 |
|  9109179960|IN53  |2000|70|109725    |Polishwala Trading Co.|109725 |Polishwala Trading Co.   |1046789048|LF   |TAN |  20|9055677   |Promise Freedom 2in1 Primer Int&Ext 10L |          1 |        10 |    12.200 |    13.616 |T20260801 |
|  9109179960|IN53  |2000|70|109725    |Polishwala Trading Co.|109725 |Polishwala Trading Co.   |1046789048|LF   |TAN |  30|9055678   |Promise Freedom 2in1 Primer Int&Ext 20L |          1 |        20 |    24.400 |    27.010 |T20260701 |
|  9109179961|IN53  |2000|70|3147852   |S. MOHANLAL & SONS    |3147852|S. MOHANLAL & SONS       |1046789054|LF   |TAN |  10|IN28004472|DN GLOSS ROYAL IVORY 1LT                |          0 |         0 |         0 |         0 |          |
|  9109179961|IN53  |2000|70|3147852   |S. MOHANLAL & SONS    |3147852|S. MOHANLAL & SONS       |1046789054|LF   |TAN |  20|IN28004473|DN GLOSS ROYAL IVORY 500ML              |          0 |         0 |         0 |         0 |          |
|  9109179961|IN53  |2000|70|3147852   |S. MOHANLAL & SONS    |3147852|S. MOHANLAL & SONS       |1046789054|LF   |TAN | 001|IN28004472|DN GLOSS ROYAL IVORY 1LT                |          6 |         6 |     6.360 |     7.230 |C20260601 |
|  9109179961|IN53  |2000|70|3147852   |S. MOHANLAL & SONS    |3147852|S. MOHANLAL & SONS       |1046789054|LF   |TAN | 002|IN28004473|DN GLOSS ROYAL IVORY 500ML              |         12 |         6 |     6.360 |     7.524 |C20260501 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN |  10|5599503   |DN ACOTONE Tinter XY1 COL_IN-SL 1L      |          0 |         0 |         0 |         0 |          |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN |  20|5599507   |DN ACOTONE Tinter XR1 COL_IN-SL 1L      |          0 |         0 |         0 |         0 |          |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN |  30|5599512   |DN ACOTONE Tinter BU1 COL_IN-SL 1L      |          0 |         0 |         0 |         0 |          |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN |  40|5599509   |DN ACOTONE Tinter MA1 COL_IN-SL 1L      |          0 |         0 |         0 |         0 |          |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN |  50|5599499   |DN ACOTONE Tinter NO1 COL_IN-SL 1L      |          0 |         0 |         0 |         0 |          |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 001|5599503   |DN ACOTONE Tinter XY1 COL_IN-SL 1L      |          6 |         6 |    10.740 |    11.208 |C20260701 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 002|5599507   |DN ACOTONE Tinter XR1 COL_IN-SL 1L      |          6 |         6 |    12.420 |    12.888 |C20260401 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 003|5599512   |DN ACOTONE Tinter BU1 COL_IN-SL 1L      |          5 |         5 |     6.500 |     6.890 |C20260201 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 004|5599512   |DN ACOTONE Tinter BU1 COL_IN-SL 1L      |          7 |         7 |     9.100 |     9.646 |C20260401 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 005|5599509   |DN ACOTONE Tinter MA1 COL_IN-SL 1L      |          2 |         2 |     2.320 |     2.476 |C20260401 |
|  9109179962|IN53  |2000|70|3300982   |ASHIRWAD PAINTS       |3300982|ASHIRWAD PAINTS          |1046789066|LF   |TAN | 006|5599499   |DN ACOTONE Tinter NO1 COL_IN-SL 1L      |          6 |         6 |     7.680 |     8.148 |C20260601 |
|  9109179963|IN53  |2000|76|3223592   |UPKAR DISTRIBUTORS    |3223592|UPKAR DISTRIBUTORS       |1046789082|LF   |TAN |  10|IN82000081|DN WTP Aquatech Roof Coat 20L           |          0 |         0 |         0 |         0 |          |
|  9109179963|IN53  |2000|76|3223592   |UPKAR DISTRIBUTORS    |3223592|UPKAR DISTRIBUTORS       |1046789082|LF   |TAN | 001|IN82000081|DN WTP Aquatech Roof Coat 20L           |         50 |     1,000 |     1,240 | 1,290.500 |T20260801 |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN |  10|IN29320271|DN PROMISE ENML WHITE 4L                |          0 |         0 |         0 |         0 |          |
