siteNameRaw,blank_rows,exact_match_id,exact_match_count
ADMIN BUILDING RELIANCE,190,null,0
RELIANCE INDUSTRISE LTD,135,null,0
SAMPLE,121,null,0
SSA PUNAT PRIMARY SCHOOL,110,null,0
VEER SWASTIK,91,null,0
AFFORDABLE HOUSING,64,null,0
AARAMBH,63,null,0
GLOBCON SPLENDOA,63,null,0
PMAY GOTLAVADI,63,null,0
OFFIRA PARK,62,null,0
SHREEPAD VIVANTA,55,null,0
INFINTY BAUG,51,null,0
RAGHUVEER SCRALETT,50,null,0
SANGINI TRADE CENTER,50,null,0
SUN RESIDENCY,50,null,0
PRAMUKH SWAGAT2,46,null,0
PRAMUKH SWAGET,44,null,0
GD GOINKA,43,null,0
NATURE VALLY,42,null,0
VASTU LUXURIA APPARTMENT,39,null,0
GPH-PIPLOD,38,null,0
ATC TIRES PVT LTD,38,null,0
ANTRIKSH AVENUE,38,null,0
PETRONET LNG LIMITED,37,null,0
GPH PIPLOD,36,null,0
VAISHNODEVI LIFE STYLE,36,null,0
SAMARTH VESATA VILLA,36,null,0
AGRIM HEIGHTS,36,null,0
GINGER HOTEL VAPI,35,null,0
D.H.PATEL PM AWASH JAHANGIRPURA,34,null,0
CENTRAL BUSINESS CENTER,34,null,0
SAMARTYA EVOLVE,34,null,0
GINGER HOTEL,32,null,0
OLIVA PRIDE,32,null,0
ANJANI AMBROSIA,32,null,0
AJANTA ARCADE,31,null,0
VACANZA HOMES [HARRODS],30,null,0
MILESTONE UTSAV,30,null,0
SANGATH RESIDENCY,29,null,0
SANSKRUTI APPRTMENT,29,null,0
DUNGARI PRATHMIK SCHOOL,29,null,0
PRAMUKH GARDEN 2,29,null,0
MULBERRY HEAVEN,28,null,0
NOVA GALAXY,28,null,0
BAGBAN THE LIFESTYLE,28,null,0
PRIMARY SCHOOL GOWADA,27,null,0
SERINITY HOMES,27,null,0
SMC AVASH,27,null,0
MARTAND HILLS,26,null,0
STUTI UNIVERSAL-C,26,null,0
PM AVAS YOJNA BHESTAN,26,null,0
RAJHANS WINGS,25,null,0
HONEY PARK,25,null,0
SAMARTHYA SOLITAIRE,25,null,0
INFINITY PARK,25,null,0
SKYNAND HIGHTS,24,null,0
ROOGTA GREEN HOME,24,null,0
FAIZ COMPLEX,24,null,0
OLD CIVIL HOSPITEL,24,null,0
SURAT DIAMOND B,24,null,0
VAISHNODEVI RESIDENCY,23,null,0
GPHB -SUVALI,23,null,0
SURAT DIMOND BOURSE,23,null,0
GPH VAV GAAM,23,null,0
SAMARTH ENCLAVE,23,null,0
SHALIGRAM RESIDENCY,23,null,0
KRISHNA DREAMS,22,null,0
GPHB CENTRAL JAIL LAJPOR,22,null,0
GREEN PARADISE,22,null,0
CRONOSYS INDIA PVT,22,null,0
SHUBH RESIDENCY,22,null,0
AALISHAN HOMES,22,null,0
RAJHANS APPLE CO-OP.HO,21,null,0
BHESTAN SEWAGE TREATMENT PLANT,21,null,0
SURYA RESIDENCY,21,null,0
SAI MILAP,21,null,0
ROYAL ORCHIDE,21,null,0
PMAY GAURAVPATH,20,null,0
SSA MANDIR FALIYA PRIMARY SCHOOL,20,null,0
SWASTIK PRIDE,20,null,0
AKASH ENCLAVE,20,null,0
AMVI TOWER,20,null,0
MEERA HEIGHT,20,null,0
RAJ ICON,19,null,0
SMAART RESICENCY,19,null,0
SHALIBHADRA RESIDENCY,19,null,0
RAJ HERITAGE,19,null,0
SANGINI SOLITAIRE,19,null,0
RANG INTERNATIONSL SCHOOL,19,null,0
RAGHUVEER TREDE CENTER,18,null,0
SAI PUJAN RESIDENCY,18,null,0
FIRE STATION BHIMRAD,18,null,0
CIVIL  HOSTEL [ P.I.U BOYS&GIRLS ..],18,null,0
FORTUNE NEST,18,null,0
MEERA HOMES,18,null,0
ANMOL TOWER,17,null,0
MADNI DARUT TARBIYAT KARMALI,17,null,0
SHREE KRISHNA DREAM,17,null,0
P.I.U CIVIL HOSPITAL GIRILS HOSTEL,17,null,0
GREEN VALLEY,17,null,0
