liveKey,currentFamily,currentSubProduct,currentUiGroup,baseColour,displayName,proposedFamily,proposedUiGroup,proposedSubProduct,matchConfidence,note
LUXURIO|||MATT|||BRILLIANT WHITE,LUXURIO,MATT,,BRILLIANT WHITE,Luxurio Matt,LUXURIO,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||MATT|||90 BASE,LUXURIO,MATT,,90 BASE,Luxurio Matt,LUXURIO,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||MATT|||93 BASE,LUXURIO,MATT,,93 BASE,Luxurio Matt,LUXURIO,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||GLOSS|||BRILLIANT WHITE,LUXURIO,GLOSS,,BRILLIANT WHITE,Luxurio Gloss,LUXURIO,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||GLOSS|||90 BASE,LUXURIO,GLOSS,,90 BASE,Luxurio Gloss,LUXURIO,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||GLOSS|||93 BASE,LUXURIO,GLOSS,,93 BASE,Luxurio Gloss,LUXURIO,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||SEALER|||BRILLIANT WHITE,LUXURIO,SEALER,,BRILLIANT WHITE,Luxurio Sealer,LUXURIO,,SEALER,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||MATT|||BLACK,LUXURIO,MATT,,BLACK,Luxurio Matt,LUXURIO,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||MATT|||BRILLIANT WHITE,2K PU,MATT,,BRILLIANT WHITE,2K PU Matt,2K PU,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||MATT|||90 BASE,2K PU,MATT,,90 BASE,2K PU Matt,2K PU,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||MATT|||93 BASE,2K PU,MATT,,93 BASE,2K PU Matt,2K PU,,MATT,HIGH,[family+subProduct+baseColour] no grouping change
LUXURIO|||GLOSS|||BLACK,LUXURIO,GLOSS,,BLACK,Luxurio Gloss,LUXURIO,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||GLOSS|||BRILLIANT WHITE,2K PU,GLOSS,,BRILLIANT WHITE,2K PU Gloss,2K PU,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||GLOSS|||90 BASE,2K PU,GLOSS,,90 BASE,2K PU Gloss,2K PU,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||GLOSS|||93 BASE,2K PU,GLOSS,,93 BASE,2K PU Gloss,2K PU,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||GLOSS|||93 BASE CLR,2K PU,GLOSS,,93 BASE CLR,2K PU Gloss,2K PU,,GLOSS,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||SEALER|||,2K PU,SEALER,,,2K PU Sealer,2K PU,,SEALER,HIGH,[family+subProduct+baseColour] no grouping change
2K PU|||PRIMER SURFACER|||BRILLIANT WHITE,2K PU,PRIMER SURFACER,,BRILLIANT WHITE,2K PU Primer Surfacer,2K PU,,PRIMER SURFACER,HIGH,[family+subProduct+baseColour] no grouping change
