menuId,family,subProduct,menuBaseColour,displayName,proposedStockProduct,proposedBaseColour,baseColourChanged,packsUnlocked,packList,sampleMaterials,confidence,reviewReason
1913,2K PU,GLOSS,93 BASE CLR,2K PU Gloss,BASE,93 BASE CLR,N,1,20|LT,5841681,HIGH,
2242,AQUATECH,PU COAT,,PU Coat,AQUATECH PU COAT,,N,2,5|KG;25|KG,5748677;5748708,HIGH,
2239,AQUATECH,INTERIOR WBC,,Interior Wbc,,,N,0,,,REVIEW,no product-name match
2243,AQUATECH,ROOF COAT,BRILLIANT WHITE,Roof Coat,WOOD PRIMER,BRILLIANT WHITE,N,5,10|LT;20|LT;500|ML;1|LT;4|LT,IN34030082;IN34030081;IN34030073,REVIEW,"35 products carry base ""BRILLIANT WHITE""; name-ranked:  (+35 with no name match)"
2259,AQUATECH,ROOF COAT,GREY,Roof Coat,ROOF COAT WHITE,,N,0,,,REVIEW,"no exact base match for ""GREY""; name→ROOF COAT WHITE; product has bases []; other name candidates: ROOF COAT GREY, ROOF COAT TERACOTTA"
2258,AQUATECH,CRACKFILLER,10MM,Crackfiller,CRACKFILLER 5MM,,N,0,,,REVIEW,"no exact base match for ""10MM""; name→CRACKFILLER 5MM; product has bases []; other name candidates: CRACKFILLER 10MM, CRACKFILLER 20MM"
2265,AQUATECH,CRACKFILLER,5MM,Crackfiller,CRACKFILLER 5MM,,N,0,,,REVIEW,"no exact base match for ""5MM""; name→CRACKFILLER 5MM; product has bases []; other name candidates: CRACKFILLER 10MM, CRACKFILLER 20MM"
2272,AQUATECH,FLEXIBLE COAT,ADVANCE,Flexible Coat,,,N,0,,,REVIEW,"no exact base match for ""ADVANCE"" and no product-name match"
2273,AQUATECH,IBC ADVANCE,ADVANCE,Ibc Advance,IBC ADVANCE,,N,0,,,REVIEW,"no exact base match for ""ADVANCE""; name→IBC ADVANCE; product has bases []"
2282,AQUATECH,FLEXIBLE COAT,NEO,Flexible Coat,,,N,0,,,REVIEW,"no exact base match for ""NEO"" and no product-name match"
2287,AQUATECH,CRACKFILLER,20MM,Crackfiller,CRACKFILLER 5MM,,N,0,,,REVIEW,"no exact base match for ""20MM""; name→CRACKFILLER 5MM; product has bases []; other name candidates: CRACKFILLER 10MM, CRACKFILLER 20MM"
