category,product,baseColour,sku_count,example_description
AQUATECH,CRACKFILLER,10MM,2,DN AQUATECH CRACKFILLER 10MM 1KG
AQUATECH,CRACKFILLER,20MM,2,DN AQUATECH DEEP CRACKFILLER 20MM 1KG
AQUATECH,CRACKFILLER,5MM,3,DN AQUATECH CRACKFILLER 5MM 400G
AQUATECH,DAMP PROTECT 2IN1,,4,DN AQUATECH DAMP PROTECT 2IN1 10L
AQUATECH,DAMP PROTECT BASECOAT,BASECOAT,4,DN AQUATECH DAMP PROTECT BASECOAT 10L
AQUATECH,FLEXIBLE COAT,ADVANCE,4,DN AQUATECH FBC ADVANCE 10L
AQUATECH,FLEXIBLE COAT,NEO,4,DN AQUATECH FBC NEO 10L
AQUATECH,FLOOR PLUS,93 BASE,3,DULUX WS FLOORPLUS 93 BASE 1 LTR
AQUATECH,FLOOR PLUS,BLACK,2,DULUX WS FLOORPLUS BLACK 1LTR
AQUATECH,FLOOR PLUS,BRILLIANT WHITE,2,DULUX WS FLOORPLUS WHITE 1LTR
AQUATECH,FLOOR PLUS,PO RED,1,DULUX FLOORPLUS PO RED 10L
AQUATECH,IBC ADVANCE,ADVANCE,3,DN AQUATECH IBC ADVANCE 1L
AQUATECH,INTERIOR WBC,,8,DN AQUATECH INTERIOR WBC  10L
AQUATECH,LW PLUS,,4,DPP-AQUATECH LW PLUS 0.2L
AQUATECH,PRETREATMENT COAT,,1,DN AQUATECH PRETREATMENT COAT 1L
AQUATECH,PU COAT,,2,DN AQUATECH PU COAT 25KG
AQUATECH,ROOF COAT,BRILLIANT WHITE,4,DN WTP AQUATECH ROOF COAT 10L
AQUATECH,ROOF COAT,GREY,3,DN WTP AQUATECH ROOF COAT GREY 1L
AQUATECH,ROOF COAT,TERACOTTA,3,DN WTP AQUATECH ROOF COAT TERACOTTA 1L
AQUATECH,RP LATEX,,4,DPP-AQUATECH RP LATEX 0.5L
AQUATECH,TG COTTON WOOL,,1,DPP-AQUATECH TG COTTON WOOL 1KG
AQUATECH,WATERBLOCK 2K,,2,DN AQUATECH WATERBLOCK 2K 15KG
AQUATECH,WATERPROOF PUTTY,,1,DN AQUATECH WATERPROOF PUTTY 40KG
AQUATECH,WRP,,4,DN AQUATECH WRP 0.5 KG
AUTO,AUTO STAR,,29,AS AUTO STAR ALUMINIUM 1L
AUTO,AUTO STAR,BLACK,5,AS AUTO STAR BLACK 1L
AUTO,AUTO STAR,BRILLIANT WHITE,15,AS AUTO STAR CASABLANCA WHITE 1LT
AUTO,AUTO STAR,BROWN,1,AUTOSTAR EICHER BROWN M12Y25 1L
AUTO,AUTO STAR,BUS GREEN,1,AS AUTO STAR BUS GREEN 1L
AUTO,AUTO STAR,CHERRY,1,AS AUTO STAR CHERRY 1LT
AUTO,AUTO STAR,GOLDEN BROWN,2,AS AUTO STAR BHARAT BENZ GOLDEN BROWN 1L
