id,family,subProduct,displayName,searchTokens,tinterType,sortOrder,isActive,createdAt,baseColour,productType
57,AQUATECH,CRACKFILLER,Crackfiller,aquatech crackfiller crack filler,null,1,true,2026-05-05 07:09:11.66536+00,null,PLAIN
58,AQUATECH,DAMP PROTECT 2IN1,Damp Protect 2in1,aquatech damp protect 2in1 dampprotect,null,2,true,2026-05-05 07:09:11.66536+00,null,PLAIN
60,AQUATECH,WATERBLOCK 2K,Waterblock 2K,aquatech waterblock 2k water block,null,4,true,2026-05-05 07:09:11.66536+00,null,PLAIN
61,AQUATECH,WATERPROOF PUTTY,Waterproof Putty,aquatech waterproof putty,null,5,true,2026-05-05 07:09:11.66536+00,null,PLAIN
62,AQUATECH,FLEXIBLE COAT,Flexible Coat,aquatech flexible coat flex coat,null,6,true,2026-05-05 07:09:11.66536+00,null,PLAIN
64,AQUATECH,IBC ADVANCE,IBC Advance,aquatech ibc advance fbc,null,8,true,2026-05-05 07:09:11.66536+00,null,PLAIN
65,AQUATECH,INTERIOR WBC,Interior WBC,aquatech interior wbc,null,9,true,2026-05-05 07:09:11.66536+00,null,PLAIN
67,AQUATECH,PU COAT,PU Coat,aquatech pu coat,null,11,true,2026-05-05 07:09:11.66536+00,null,PLAIN
68,AQUATECH,LW PLUS,LW Plus,aquatech lw plus lwplus,null,12,true,2026-05-05 07:09:11.66536+00,null,PLAIN
69,AQUATECH,PRETREATMENT COAT,Pretreatment Coat,aquatech pretreatment coat pre treatment,null,13,true,2026-05-05 07:09:11.66536+00,null,PLAIN
70,AQUATECH,RP LATEX,RP Latex,aquatech rp latex,null,14,true,2026-05-05 07:09:11.66536+00,null,PLAIN
71,AQUATECH,TG COTTON WOOL,TG Cotton Wool,aquatech tg cotton wool,null,15,true,2026-05-05 07:09:11.66536+00,null,PLAIN
72,AQUATECH,WRP,WRP,aquatech wrp,null,16,true,2026-05-05 07:09:11.66536+00,null,PLAIN
227,AQUATECH,FLOOR PLUS,Floor Plus — Black,floor plus aquatech floorplus black,null,500,true,2026-05-05 08:04:37.295157+00,BLACK,COLOUR
228,AQUATECH,FLOOR PLUS,Floor Plus — Forest Green,floor plus aquatech floorplus forest green forest,null,501,true,2026-05-05 08:04:37.295157+00,FOREST GREEN,COLOUR
229,AQUATECH,FLOOR PLUS,Floor Plus — Golden Yellow,floor plus aquatech floorplus golden yellow golden,null,502,true,2026-05-05 08:04:37.295157+00,GOLDEN YELLOW,COLOUR
230,AQUATECH,FLOOR PLUS,Floor Plus — Gun Grey,floor plus aquatech floorplus gun grey gun,null,503,true,2026-05-05 08:04:37.295157+00,GUN GREY,COLOUR
231,AQUATECH,FLOOR PLUS,Floor Plus — Paver Grey,floor plus aquatech floorplus paver grey paver,null,504,true,2026-05-05 08:04:37.295157+00,PAVER GREY,COLOUR
232,AQUATECH,FLOOR PLUS,Floor Plus — Peacock Blue,floor plus aquatech floorplus peacock blue peacock,null,505,true,2026-05-05 08:04:37.295157+00,PEACOCK BLUE,COLOUR
233,AQUATECH,FLOOR PLUS,Floor Plus — Po Red,floor plus aquatech floorplus po red po,null,506,true,2026-05-05 08:04:37.295157+00,PO RED,COLOUR
234,AQUATECH,FLOOR PLUS,Floor Plus — Signal Red,floor plus aquatech floorplus signal red signal,null,507,true,2026-05-05 08:04:37.295157+00,SIGNAL RED,COLOUR
235,AQUATECH,FLOOR PLUS,Floor Plus — Signal Red Plus,floor plus aquatech floorplus signal red plus signal,null,508,true,2026-05-05 08:04:37.295157+00,SIGNAL RED PLUS,COLOUR
236,AQUATECH,FLOOR PLUS,Floor Plus — Teracotta,floor plus aquatech floorplus teracotta,null,509,true,2026-05-05 08:04:37.295157+00,TERACOTTA,COLOUR
237,AQUATECH,FLOOR PLUS,Floor Plus — White,floor plus aquatech floorplus white,null,510,true,2026-05-05 08:04:37.295157+00,WHITE,COLOUR
316,AQUATECH,DAMP PROTECT BASECOAT,Damp Protect Basecoat — Basecoat,aquatech damp protect basecoat basecoat,null,1600,true,2026-05-05 08:37:02.716448+00,BASECOAT,BASE_VARIANT
291,AQUATECH,ROOF COAT,Roof Coat — Grey,aquatech roof coat grey,null,1800,true,2026-05-05 08:04:37.295157+00,GREY,COLOUR
292,AQUATECH,ROOF COAT,Roof Coat — Teracotta,aquatech roof coat teracotta,null,1801,true,2026-05-05 08:04:37.295157+00,TERACOTTA,COLOUR
343,AQUATECH,FLOOR PLUS,Floor Plus — BW,aquatech floor plus floorplus bw white brilliant,null,2600,true,2026-05-05 08:37:02.716448+00,BRILLIANT WHITE,BASE_VARIANT
344,AQUATECH,FLOOR PLUS,Floor Plus — 93,aquatech floor plus floorplus 93 93base,null,2601,true,2026-05-05 08:37:02.716448+00,93 BASE,BASE_VARIANT
479,AQUATECH,ROOF COAT,Roof Coat — BW,aquatech roof coat roofcoat bw white brilliant,null,5600,true,2026-05-05 08:37:02.716448+00,BRILLIANT WHITE,BASE_VARIANT
218,AUTO,AUTO STAR,Auto Star — Black,auto star autostar black,null,400,true,2026-05-05 08:04:37.295157+00,BLACK,COLOUR
219,AUTO,AUTO STAR,Auto Star — Brown,auto star autostar brown,null,401,true,2026-05-05 08:04:37.295157+00,BROWN,COLOUR
