obdA,obdB,cohort,shared,linesA,linesB,windowA,windowB,dateA,dateB,routeA,routeB
9107834707,9107642498,326,2,6,8,,,,,Ghod Dod,Adajan
9107834709,9107827923,326,5,28,16,,,,,Navsari,Adajan
9107834709,9107821621,326,2,28,5,,,,,Navsari,Ghod Dod
9107834709,9107783273,326,2,28,4,,,,,Navsari,Adajan
9107834709,9107343776,326,3,28,6,,,,,Navsari,Varachha
9107834709,9107827924,326,2,28,6,,,,,Navsari,Ghod Dod
9107827923,9107783273,326,2,16,4,,,,,Adajan,Adajan
9106568671,9107454957,326,4,4,4,,,,,Ghod Dod,Ghod Dod
9107634948,9106634247,342,6,7,6,,,,,Adajan,Adajan
9108167730,9108167728,751,3,13,15,1,1,2026-07-10,2026-07-10,Adajan,Adajan
9107842915,9107488878,351,4,4,4,,,,,Vapi,Vapi
9107757066,9107757067,532,3,19,5,,,,,Adajan,Adajan
9108200715,9108200722,755,2,2,41,1,1,2026-07-10,2026-07-10,Udhana,Adajan
9108200721,9108200722,755,5,8,41,1,1,2026-07-10,2026-07-10,Adajan,Adajan
9108739463,9108739462,1465,5,22,14,1,1,2026-08-07,2026-08-07,Ghod Dod,Udhana
9108008409,9108008406,539,2,5,14,,,,,Adajan,Bharuch
9108008404,9108008406,539,2,13,14,4,,2026-07-03,,Varachha,Bharuch
9107760734,9107760739,370,2,3,3,,,,,Vapi,Ghod Dod
9108006728,9108006724,544,3,6,6,,,,,Chikhli,Ghod Dod
9108720222,9108672898,1482,3,6,9,4,4,2026-08-07,2026-08-07,Bardoli,Bardoli
9108720222,9108719149,1482,2,6,19,4,4,2026-08-07,2026-08-06,Bardoli,Navsari
9108672898,9108675836,1482,2,9,2,4,4,2026-08-07,2026-08-07,Bardoli,Chikhli
9108761314,9108719149,1482,17,27,19,4,4,2026-08-06,2026-08-06,Navsari,Navsari
9107725277,9107725276,386,2,10,6,,,,,Varachha,Navsari
9108222008,9108157892,764,2,7,7,3,4,2026-07-10,2026-07-10,Ghod Dod,Ghod Dod
9108157892,9108222000,764,2,7,8,4,4,2026-07-10,2026-07-10,Ghod Dod,Navsari
9108159896,9108222000,764,2,5,8,4,4,2026-07-10,2026-07-10,Navsari,Navsari
9107760787,9107768685,565,2,13,30,,,,,Ghod Dod,
9107768689,9107768685,565,8,30,30,,,,,Adajan,
9108139781,9108139783,768,2,13,5,3,4,2026-07-10,2026-07-10,Varachha,Chikhli
9107968381,9108029934,571,2,19,23,,,,,Ghod Dod,Varachha
9107862848,9107862847,401,2,7,37,,,,,Adajan,Vapi
9108217417,9108217418,770,3,18,15,3,4,2026-07-10,2026-07-10,Adajan,Navsari
9108705047,9108705048,1445,5,28,14,4,2,2026-08-06,2026-08-06,Bardoli,Adajan
9107894618,9107857656,404,2,2,9,,,,,Adajan,
9108192729,9108192738,772,2,17,2,3,3,2026-07-10,2026-07-10,Ghod Dod,Adajan
9108192729,9108192733,772,7,17,11,3,3,2026-07-10,2026-07-10,Ghod Dod,Ghod Dod
9107918805,9107918804,409,3,3,3,,,,,Vapi,Vapi
9107842176,9107842165,418,3,3,10,1,1,2026-06-28,2026-06-28,,
9107842176,9107842166,418,2,3,7,1,1,2026-06-28,2026-06-28,,
9107842165,9107842166,418,4,10,7,1,1,2026-06-28,2026-06-28,,
9108222010,9108159897,773,4,4,4,4,4,2026-07-10,2026-07-10,Ghod Dod,
9108222010,9108159898,773,4,4,4,4,1,2026-07-10,2026-07-10,Ghod Dod,Ghod Dod
9108159897,9108159898,773,4,4,4,4,1,2026-07-10,2026-07-10,,Ghod Dod
9108170938,9108170930,776,2,15,5,3,3,2026-07-10,2026-07-10,Varachha,Adajan
9108170938,9108170931,776,2,15,5,3,3,2026-07-10,2026-07-10,Varachha,Adajan
9108170929,9108170931,776,2,6,5,3,3,2026-07-10,2026-07-10,Adajan,Adajan
9107811085,9107811082,416,2,30,39,,1,,2026-06-28,Adajan,Adajan
9107811085,9107811083,416,2,30,2,,,,,Adajan,Vapi
9107811082,9107811083,416,2,39,2,1,,2026-06-28,,Adajan,Vapi
9107826096,9107917611,412,2,11,20,,,,,Ghod Dod,Adajan
9107826096,9107917606,412,2,11,39,,1,,2026-06-28,Ghod Dod,Adajan
9107917611,9107917606,412,6,20,39,,1,,2026-06-28,Adajan,Adajan
9107917608,9107917606,412,4,5,39,,1,,2026-06-28,Adajan,Adajan
9108224112,9108224111,779,2,8,13,4,1,2026-07-10,2026-07-11,Navsari,Varachha
9108224112,9108224116,779,3,8,4,4,3,2026-07-10,2026-07-12,Navsari,Chikhli
9108308888,9108353804,962,2,2,6,,3,,2026-07-17,Adajan,Adajan
9108139666,9108139679,782,2,7,3,1,3,2026-07-11,2026-07-12,Adajan,
9107899066,9107899065,439,2,6,19,,,,,Navsari,Navsari
9108214230,9108214239,783,2,8,4,1,1,2026-07-11,2026-07-11,Varachha,Ghod Dod
9108214230,9108214220,783,2,8,3,1,1,2026-07-11,2026-07-11,Varachha,Adajan
9108214237,9108214235,783,2,15,10,4,1,2026-07-11,2026-07-11,Chikhli,Ghod Dod
9108214226,9108214235,783,2,5,10,1,1,2026-07-11,2026-07-11,Adajan,Ghod Dod
9108214239,9108214220,783,3,4,3,1,1,2026-07-11,2026-07-11,Ghod Dod,Adajan
9107895835,9107931925,440,2,3,2,,,,,,
9108025538,9108025537,603,2,2,2,4,4,2026-07-03,2026-07-03,Navsari,Adajan
9108028820,9108028818,606,2,3,4,,,,,Adajan,Varachha
9108028820,9108028817,606,3,3,3,,,,,Adajan,Adajan
9108028818,9108028817,606,2,4,3,,,,,Varachha,Adajan
9107943325,9107943324,449,2,8,9,,,,,Adajan,Varachha
