obdA,obdB,bucketIstDay,sharedDistinctSkus,distinctSkusA,distinctSkusB,containment,activeLinesA,activeLinesB,windowA,windowB,targetDateA,targetDateB,routeA,routeB
9107834707,9107842914,2026-06-23,1,6,2,0.500,6,2,,,,,Ghod Dod,Vapi
9107642498,9107842914,2026-06-23,1,8,2,0.500,9,2,,,,,Adajan,Vapi
9107842914,9107842916,2026-06-23,1,2,9,0.500,2,9,,,,,Vapi,Vapi
9107834708,9106582883,2026-06-23,2,4,2,1.000,4,2,,,,,Adajan,Adajan
9107634948,9106634247,2026-06-23,6,7,6,1.000,7,6,,,,,Adajan,Adajan
9107834709,9107783273,2026-06-23,2,28,4,0.500,28,5,,,,,Navsari,Adajan
9107827923,9107783273,2026-06-23,2,16,4,0.500,16,5,,,,,Adajan,Adajan
9107834709,9107343776,2026-06-23,3,28,6,0.500,28,6,,,,,Navsari,Varachha
9107834709,9107623129,2026-06-23,1,28,2,0.500,28,2,,,,,Navsari,Ghod Dod
9107834709,9106634249,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Varachha
9107834709,9107630477,2026-06-23,2,28,3,0.667,28,3,,,,,Navsari,Bharuch
9107343776,9107623129,2026-06-23,1,6,2,0.500,6,2,,,,,Varachha,Ghod Dod
9107343776,9106634249,2026-06-23,1,6,1,1.000,6,1,,,,,Varachha,Varachha
9107343776,9107630477,2026-06-23,2,6,3,0.667,6,3,,,,,Varachha,Bharuch
9107623129,9106634249,2026-06-23,1,2,1,1.000,2,1,,,,,Ghod Dod,Varachha
9107623129,9107630477,2026-06-23,2,2,3,1.000,2,3,,,,,Ghod Dod,Bharuch
9106634249,9107630477,2026-06-23,1,1,3,1.000,1,3,,,,,Varachha,Bharuch
9107842915,9107488878,2026-06-23,4,4,4,1.000,4,5,,,,,Vapi,Vapi
9107834709,9107848102,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Adajan
9107834709,9107848100,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Adajan
9107834709,9106582881,2026-06-23,2,28,2,1.000,28,2,,,,,Navsari,Adajan
9107827923,9106582881,2026-06-23,2,16,2,1.000,16,2,,,,,Adajan,Adajan
