section,label,value
Q01 billing_settings,row count,1
Q01 billing_settings,scope=GLOBAL,rolloutStage=ALL_USERS | updatedAt=2026-08-06 10:41:10.397392+00 | updatedById=null
Q02 ACCESS_SOURCE,effective mode,user
Q02 ACCESS_SOURCE,"system_config.value (raw, quoted)","""user"""
Q03a user_page_access counts,billing_hold,rows=40 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,billing_picking,rows=5 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,billing_print,rows=40 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,billing_ship_to,rows=40 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,billing_slot,rows=40 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,billing_urgent,rows=40 | canView=5 | canEdit=5 | canExport=0
Q03a user_page_access counts,ci,rows=39 | canView=13 | canEdit=12 | canExport=5
Q03a user_page_access counts,floor,rows=39 | canView=6 | canEdit=6 | canExport=1
Q03a user_page_access counts,mrn,rows=39 | canView=13 | canEdit=13 | canExport=6
Q03a user_page_access counts,place_order_ship_to,rows=5 | canView=5 | canEdit=4 | canExport=0
Q03a user_page_access counts,reports_ti_report,rows=3 | canView=3 | canEdit=0 | canExport=3
Q03a user_page_access counts,reports_tint_summary,rows=3 | canView=1 | canEdit=0 | canExport=0
Q03a user_page_access counts,tint_panel_activity,rows=3 | canView=3 | canEdit=0 | canExport=0
Q03a user_page_access counts,tint_panel_details,rows=3 | canView=3 | canEdit=0 | canExport=0
Q03a user_page_access counts,tint_panel_items,rows=3 | canView=3 | canEdit=0 | canExport=0
Q03b holders (canView),reports_ti_report,"Chandresh Kolgha (#21), Deepanshu Thakur (#25), Prakash (#32)"
Q03b holders (canView),reports_tint_summary,Operations User (#20)
Q03b holders (canView),tint_panel_activity,"Chandresh Kolgha (#21), Deepanshu Thakur (#25), Prakash (#32)"
Q03b holders (canView),tint_panel_details,"Chandresh Kolgha (#21), Deepanshu Thakur (#25), Prakash (#32)"
Q03b holders (canView),tint_panel_items,"Chandresh Kolgha (#21), Deepanshu Thakur (#25), Prakash (#32)"
Q04 app_settings,picking.visibilityGate,isEnabled=false | updatedAt=2026-09-16 09:07:27.202+00 | updatedBy=Harsh
Q04 app_settings,picking.visibilityGate (effective),OFF
Q05a constraints,app_tag_settings.app_tag_settings_pkey [p],PRIMARY KEY (id)
Q05a constraints,app_tag_settings.app_tag_settings_userId_fkey [f],"FOREIGN KEY (""userId"") REFERENCES users(id) ON DELETE CASCADE"
Q05a constraints,app_tag_settings.chk_app_tag_settings_scope [c],"CHECK ((((scope = 'everyone'::text) AND (""roleSlug"" IS NULL) AND (""userId"" IS NULL)) OR ((scope = 'role'::text) AND (""roleSlug"" IS NOT NULL) AND (""userId"" IS NULL)) OR ((scope = 'user'::text) AND (""roleSlug"" IS NULL) AND (""userId"" IS NOT NULL))))"
Q05a constraints,trip_activity.chk_trip_activity_action [c],"CHECK ((action = ANY (ARRAY['created'::text, 'bills_added'::text, 'bills_removed'::text, 'vehicle_changed'::text, 'details_changed'::text, 'cancelled'::text, 'released'::text, 'dispatched'::text, 'renamed'::text, 'shown'::text, 'taken_back'::text, 'sent_to_billing'::text, 'taken_back_from_billing'::text, 'invoices_copied'::text])))"
Q05a constraints,trip_activity.trip_activity_actor_fkey [f],"FOREIGN KEY (""actorId"") REFERENCES users(id)"
Q05a constraints,trip_activity.trip_activity_pkey [p],PRIMARY KEY (id)
Q05a constraints,trip_activity.trip_activity_trip_fkey [f],"FOREIGN KEY (""tripId"") REFERENCES trips(id) ON DELETE RESTRICT"
Q05a constraints,trip_drops.chk_trip_drops_key [c],"CHECK ((""dropKey"" =
CASE
    WHEN (""customerId"" IS NOT NULL) THEN ('c:'::text || (""customerId"")::text)
    ELSE ('s:'::text || ""shipToCode"")
END))"
Q05a constraints,trip_drops.chk_trip_drops_seq_positive [c],"CHECK ((""dropSeq"" >= 1))"
Q05a constraints,trip_drops.trip_drops_customerId_fkey [f],"FOREIGN KEY (""customerId"") REFERENCES delivery_point_master(id)"
Q05a constraints,trip_drops.trip_drops_pkey [p],PRIMARY KEY (id)
Q05a constraints,trip_drops.trip_drops_tripId_fkey [f],"FOREIGN KEY (""tripId"") REFERENCES trips(id) ON DELETE CASCADE"
Q05a constraints,trip_drops.trip_drops_trip_key_key [u],"UNIQUE (""tripId"", ""dropKey"")"
Q05a constraints,trip_drops.trip_drops_trip_seq_key [u],"UNIQUE (""tripId"", ""dropSeq"")"
Q05a constraints,trips.chk_trips_cancelled_complete [c],"CHECK (((status <> 'cancelled'::text) OR ((""cancelledAt"" IS NOT NULL) AND (""cancelledById"" IS NOT NULL))))"
Q05a constraints,trips.chk_trips_dispatched_complete [c],"CHECK (((status <> 'dispatched'::text) OR ((""dispatchedAt"" IS NOT NULL) AND (""dispatchedById"" IS NOT NULL))))"
Q05a constraints,trips.chk_trips_number_shape [c],"CHECK (
CASE
    WHEN (status = 'cancelled'::text) THEN (""tripNumber"" ~ (((((('^'::text || ""typeCode"") || '-'::text) || to_char((""tripDate"")::timestamp with time zone, 'YYMMDD'::text)) || '-'::text) || lpad((seq)::text, GREATEST(2, length((seq)::text)), '0'::text)) || '-C([2-9]|[1-9][0-9]+)?$'::text))
    ELSE (""tripNumber"" = ((((""typeCode"" || '-'::text) || to_char((""tripDate"")::timestamp with time zone, 'YYMMDD'::text)) || '-'::text) || lpad((seq)::text, GREATEST(2, length((seq)::text)), '0'::text)))
END)"
Q05a constraints,trips.chk_trips_seq_positive [c],CHECK ((seq >= 1))
Q05a constraints,trips.chk_trips_status [c],"CHECK ((status = ANY (ARRAY['draft'::text, 'released'::text, 'dispatched'::text, 'cancelled'::text])))"
Q05a constraints,trips.chk_trips_type_code [c],"CHECK ((""typeCode"" = ANY (ARRAY['L'::text, 'U'::text, 'I'::text, 'C'::text])))"
Q05a constraints,trips.chk_trips_vehicle_one_of [c],"CHECK ((NOT ((""vehicleId"" IS NOT NULL) AND (""adhocVehicleNo"" IS NOT NULL))))"
Q05a constraints,trips.trips_billingCopiedById_fkey [f],"FOREIGN KEY (""billingCopiedById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_cancelledById_fkey [f],"FOREIGN KEY (""cancelledById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_createdById_fkey [f],"FOREIGN KEY (""createdById"") REFERENCES users(id)"
Q05a constraints,trips.trips_deliveryTypeId_fkey [f],"FOREIGN KEY (""deliveryTypeId"") REFERENCES delivery_type_master(id)"
