skuCodeRaw,rawDescription,lineItemCount,obdCount
5852572,WS Prima E900 Gen tint Int.Base(92) 20L,68,58
5852571,WS Prima E900 Gen tint White base(90)20L,65,54
9061393,PS Sealer 800 20L,52,52
5852573,WS Prima E900 Gen tint AccentBase(94)20L,38,34
5818100,WS PU Elastomeric Brl White 20Ltr,37,37
5818104,WS PU Elastomeric Int base(92) 20Ltr,34,24
IN70449281,PS WS UltraClean TINT 92 Base 20L,29,23
IN70809081,PS WS E1000 TINT White Base 20L,27,26
5949671,WS Elastomeric 12 Gentint 92 base 20L,25,18
IN70070181,DN WS PROJ GENRIC TINT 1090 BASE 20LT,24,23
5879693,PS Weathershield Sealer E900 20L,22,20
5955806,DN WS Max Gen 10yr 90 Base 20L,21,19
5949672,WS Elastomeric 12 Gentint 94 base 20L,20,20
IN43100068,PS Creation Sandtex HS 30 Kg,20,16
5907185,DN WS  Protect DP Gen tint 90base 20L,19,17
5967877,DN WS  Protect Hi-sheen Gen 90 20L,19,17
IN70449481,PS WS UltraClean GENRIC TINT 94 Base 18L,18,17
IN70809281,PS WS E1000 TINT Intermediate Base 20L,18,18
5844388,WS Prima E900 Brilliant White 20L,17,17
5948217,DN WS Max 10yr 93 Base 4L,17,17
6428052,Branded Umbrella,17,17
IN70270181,DN GLOSS GENRIC TINT 0090 BASE 20LT,17,14
IN86400081,PS Interior A700 Brilliant White 20L,17,13
IN44709281,PS WS UltraClean Intermediate Base 20L,15,12
IN70869081,PS Interior A700 GENTINT 90Base 20L,15,13
IN70070381,DN WS PROJ GENRIC TINT 1094 BASE 20LT,14,10
5911946,DP M900 Gloss Enamel Gen tint 90 Base 20,13,13
5967915,DN WS  Protect Hi-sheen Gen93 20L,13,10
5949670,WS Elastomeric 12 Gentint 90 base 20L,12,10
5585872,Promise SmartChoice Int Tint Wht Bas 20L,11,9
5907189,DN WS  Protect DP Gen tint 92base 20L,11,9
IN32650081,PS WS Sealer E1000 20L,11,9
IN36819281,PS WS E1000 Intermediate Base 18L,11,8
IN70070281,DN WS PROJ GENRIC TINT 1092 BASE 20LT,11,11
IN70449081,PS WS UltraClean TINT White Base 20L,11,10
6047998,BAG,10,10
IN70109481,DN GLOSS GENRIC TINT ACCENT BASE 20L,10,9
IN70809481,PS WS E1000 GENTINT 94Base 18L,10,10
5955778,DN WS PF Gen 15yr 92 Base 20L,9,9
6432069,INDUCTION COOKTOP,9,9
IN03651071,DO Duco Reg White 4LT,9,9
IN13900774,WN Wanda check putty 200gm,9,7
IN23350081,PS INTERIOR A900 BRILLIANT WHITE 20L,9,6
5862521,Interior A100 Acry Distemper,8,6
5955810,DN WS Max Gen 10yr 92 Base 20L,8,8
5955814,DN WS Max Gen 10yr 93 Base 20L,8,6
5860306,DN Promise Interior Gen White Base 20L,7,5
5911947,DP M900 Gloss Enamel Gen tint 92 Base 20,7,6
5912041,WS PU TR E2000 Gen tint 92 base 20L,7,6
5948218,DN WS Max 10yr 93 Base 10L,7,7
6466289,FFM ELEMENT2 (12*2.3L+ Tick),7,7
IN03651072,D0 Duco Reg White 1L,7,6
IN19900172,AS Auto Star White 1L,7,6
IN36819081,PS WS E1000 White Base 20L,7,7
IN61100471,WN Wanda Basecoat SB 3004 3.7L,7,5
IN70270381,DN GLOSS GENRIC TINT 1092 BASE 20L,7,6
5825225,PS WS PU ELASTOMERIC 92 BAS GENERIC 20L,6,5
5912038,DP M900 Gloss Enamel Gen tint 94 Base 20,6,6
5967911,DN WS  Protect Hi-sheen Gen92 20L,6,6
IN32256881,PS Interior Sealer A500 20L,6,6
IN37750399,IP BANCO 10 CANNISTERS,6,1
